,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,610.0,497.0,587.0,533.0,519.0,586.0,607.0,571.0,550.0,715.0,582.0
1,499.0,502.0,497.0,507.0,573.0,536.0,573.0,624.0,686.0,605.0,747.0
2,485.0,606.0,536.0,619.0,639.0,665.0,685.0,724.0,741.0,706.0,727.0
기업수,1594.0,1605.0,1620.0,1659.0,1731.0,1787.0,1865.0,1919.0,1977.0,2026.0,2056.0
