,매출총이익,총자본,영업이익,당기순이익,매출채권,판매 및 관리비,영업현금흐름,최대주주비율,경영권분쟁소송+최대주주변경카운트+불성실공시법인지정카운트+조회공시요구카운트+상호변경카운트+업종변경카운트,차입금의존도,결산기간_주가변동률,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액+타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액+BW금액+CB금액+유상증자금액,최대주주비율_변동성,결산기간_거래량증가
2012-01,0.17615563079739416,0.1445062706543067,0.13397113211832737,0.10879596273112178,0.10721540407598106,0.10265145659514725,0.07143313600022212,0.06427713896263215,0.02926456616808787,0.006497367886279412,0.017094945739352545,0.013520327521945373,0.019815553214573192,0.004801107534629117
2013-01,0.17399145311069117,0.1441714229219445,0.14268424857160109,0.11050265867161503,0.10230825460816127,0.09913856387630714,0.073312048017199,0.06647645700798334,0.029502858928975795,0.02388178568148433,0.017125406389932613,0.015208518308037152,0.0010247961614373718,0.0006715277446302993
2014-01,0.15487114161590307,0.13005972059055185,0.14426260260900106,0.12643837823159582,0.08176232661226297,0.08233780513158863,0.07959192120213092,0.0792244709050153,0.02736695613197978,0.048575148064538096,0.016919550616754896,0.02128188355055852,0.0048846988411248606,0.002423395896994247
2015-01,0.16993879146182536,0.15198972263778968,0.12853588689550977,0.0929359620873317,0.12002148239331849,0.11802877336111182,0.08353503337328948,0.04679262837871246,0.034286091669225714,0.008119253663523666,0.02491608933617544,0.005775847664479394,0.007592594741724115,0.007531842335983083
2016-01,0.1623818138382578,0.14542990222785815,0.11942419184422372,0.08608725695007027,0.11544856667634541,0.11768944216252851,0.08729009897006439,0.055726451176476635,0.031510233232279965,0.007819034971116547,0.020274029542320004,0.016149355034653957,0.024443066037701643,0.010326557336102927
2017-01,0.16040800040183062,0.14533744313531288,0.13342741969480193,0.11195391841886741,0.11204305210732615,0.1061213341650437,0.07980602642958798,0.06805664307543854,0.02255324065346388,0.007973699984863017,0.02359162316514385,0.014264478130923661,0.012132702206594086,0.0023304184308023746
2018-01,0.15692442820219954,0.13551892271919713,0.1191214151317683,0.09579853415373898,0.10117324155379355,0.10342577292620245,0.06850998838314391,0.09855246954835979,0.02453733529732044,0.016598560732602685,0.020694917598316716,0.03188057836369116,0.017058858513541414,0.010204976876123938
2019-01,0.142885729597327,0.13172941798753446,0.11832169393839351,0.10213632373182012,0.10391725953925662,0.08622363410628654,0.07723677219210802,0.09470041118644994,0.026065877872980092,0.03293071469487139,0.020975414938600636,0.035011566853765566,0.007282535782086099,0.020582647578519825
2020-01,0.16858776472309528,0.14089768775983774,0.11661336876876627,0.0873065498235128,0.11733987609795421,0.10766294642083786,0.10081727837866589,0.0719656803689359,0.0204526884899593,0.015358929686804513,0.02233796004738489,0.017685943736735016,0.01074882167903703,0.002224504018473283
2021-01,0.14907915623109738,0.1269818351731824,0.1348997975215249,0.12397499367706516,0.09857714331251999,0.08390623238292799,0.09517335337972178,0.07891496367202364,0.0111777075955797,0.039843900832093,0.02024950168823089,0.03330184353995783,0.0032873870795781333,0.0006321839144973465
