,0
매출총이익,0.16377397233251015
총자본,0.1414180314770382
영업이익,0.1292023705881861
매출채권,0.10666189880021741
판매 및 관리비,0.10456003783197775
당기순이익,0.10349045945313849
영업현금흐름,0.08382858389093925
최대주주비율,0.07049598819185358
결산기간_주가변동률,0.020892490172850147
차입금의존도,0.01876956645059723
CB금액,0.01741134126036514
최대주주비율_변동성,0.009648822185814546
조회공시요구카운트,0.008884823346670038
결산기간_거래량증가,0.006833967027282395
최대주주변경카운트,0.005368460781758278
BW금액,0.0021029073389762397
불성실공시법인지정카운트,0.0020839516470778823
타법인주식및출자증권취득결정금액,0.0015033170716548954
유상증자금액,0.0012911125808407384
최대주주변경을수반하는주식양수도금액,0.001010795159958383
상호변경카운트,0.0007671024102932145
