,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,총자본,영업현금흐름/총자본,최대주주비율,매출총이익/총자본,차입금의존도,매출채권/총자본,BW금액+CB금액+유상증자금액/총자본,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,결산기간_주가변동률,최대주주비율_변동성,최대주주변경카운트
2012-01,0.21074875807764654,0.1852646303228161,0.11147883457069474,0.11313848445131616,0.06434447433633209,0.07812834753893318,0.07430043226697906,0.05235445985967718,0.03379590093307403,0.032964049018996695,0.014040203853451623,0.0101894118121887,0.016206876681860456,0.003045136276033515
2013-01,0.22011153720803373,0.1947510989091015,0.11453501152569896,0.0888832236901136,0.08095192396375532,0.07585941741435939,0.07003864215162288,0.06678132788147642,0.04298197273468417,0.022695450008237136,0.010368839153140972,0.00743981835830307,0.0023574752752139557,0.0022442617262587506
2014-01,0.16326773171692469,0.216056706728859,0.10720419102968713,0.026442067113811786,0.08769484055335833,0.01723680985020223,0.29325490823860145,0.027252793553418253,0.04882382308073947,0.0050631664627343595,0.0027037608847674676,0.002569086542918426,0.0021933478435988626,0.00023676640037861773
2015-01,0.1974277523636852,0.2118625445229623,0.08906343163883627,0.1061078740554983,0.07534470755859078,0.07663129706376483,0.07821254863744227,0.053630437279172785,0.02446463395307628,0.033033194856229596,0.02596244352647049,0.010903557997784924,0.01256788677252586,0.004787689773960186
2016-01,0.18051305724288574,0.1710269613468255,0.0735006709392388,0.13141829609411973,0.10112898308507146,0.08930259658666562,0.07075474343153723,0.04037531116624327,0.026650967691869816,0.04608383516048806,0.019679029527906178,0.017351228437767013,0.025437178897908357,0.006777140391473323
2017-01,0.19922260224063612,0.1796065944188021,0.08891959671320446,0.12727418128983065,0.08389498343557805,0.1020904863998706,0.06550535919521032,0.03408206480264035,0.02198188734775046,0.03637158862875238,0.0185825485952853,0.024414151265450944,0.012941118953581649,0.0051128367134066245
2018-01,0.1833026291445736,0.17650312853890826,0.0905344066091516,0.1198799185264174,0.090037624585038,0.09601886260295615,0.06723560505487887,0.04905946858744838,0.022023132904329303,0.045877159680904646,0.01066849118692304,0.01779531488005597,0.02265275295628726,0.008411504742127656
2019-01,0.1901690854410562,0.1912596034850687,0.11110478358228752,0.12508696960058033,0.09697462016599304,0.08595832151854309,0.060556936709017926,0.0488171696556124,0.021200948627698307,0.036495329883144696,0.008427145409746211,0.015563194243159549,0.0030919940131851316,0.005293897664906866
2020-01,0.19658664069383164,0.18831637465837311,0.09194026619954304,0.11537160925619423,0.10265957033907605,0.09745659521371605,0.06927360088763856,0.04149823030566564,0.018620760068301184,0.0346215876006925,0.010929296587102516,0.014843476903599767,0.012072636868320183,0.005809354417945593
2021-01,0.18537227561362973,0.17621098554976283,0.10773437770272562,0.12147025401033458,0.08847836926124332,0.07095691221645367,0.06331464880784717,0.06203697912909084,0.023471883358633393,0.06509188224379134,0.005973861908394324,0.016779684608300354,0.009831007852609673,0.0032768777371829654
