,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.1320754716981132,0.05714285714285714,0.023255813953488372,0.9047619047619048,0.09302325581395349,0.07692307692307693,0.0813953488372093,0.8988764044943821,0.07865168539325842,0.13636363636363635
1,0.16981132075471697,0.8857142857142857,0.7209302325581395,0.047619047619047616,0.09302325581395349,0.09615384615384616,0.09302325581395347,0.05617977528089888,0.07865168539325842,0.7424242424242424
2,0.6981132075471698,0.05714285714285714,0.2558139534883721,0.047619047619047616,0.813953488372093,0.8269230769230769,0.8255813953488371,0.04494382022471911,0.8426966292134832,0.12121212121212122
포착군집,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0
