,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.05555555555555556,0.13333333333333333,0.0,1.0,0.03571428571428571,0.03225806451612903,0.045454545454545456,0.9122807017543859,0.04761904761904762,0.125
1,0.05555555555555556,0.7333333333333334,0.7391304347826088,0.0,0.14285714285714285,0.06451612903225806,0.09090909090909091,0.052631578947368425,0.07142857142857144,0.7708333333333333
2,0.888888888888889,0.13333333333333333,0.2608695652173913,0.0,0.8214285714285714,0.903225806451613,0.8636363636363636,0.03508771929824561,0.880952380952381,0.10416666666666667
포착군집,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0
