,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,562.0,559.0,479.0,651.0,667.0,724.0,539.0,521.0,769.0,587.0,602.0
1,654.0,446.0,606.0,615.0,475.0,642.0,625.0,744.0,565.0,796.0,801.0
2,412.0,619.0,568.0,446.0,618.0,471.0,741.0,688.0,677.0,677.0,665.0
기업수,1628.0,1624.0,1653.0,1712.0,1760.0,1837.0,1905.0,1953.0,2011.0,2060.0,2068.0
