,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01,2022-01
0,482.0,599.0,542.0,602.0,621.0,466.0,516.0,692.0,756.0,590.0,675.0
1,535.0,522.0,544.0,601.0,633.0,712.0,737.0,513.0,538.0,787.0,606.0
2,577.0,484.0,534.0,456.0,477.0,609.0,612.0,714.0,683.0,649.0,775.0
기업수,1594.0,1605.0,1620.0,1659.0,1731.0,1787.0,1865.0,1919.0,1977.0,2026.0,2056.0
