,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.019138755980861243,0.019138755980861243,0.004784688995215311,0.028708133971291867,0.019138755980861243,0.07177033492822966,0.10526315789473684,0.019138755980861243,0.023923444976076555,0.05741626794258373
1,0.009569377990430622,0.004784688995215311,0.004784688995215311,0.019138755980861243,0.028708133971291867,0.03827751196172249,0.019138755980861243,0.09569377990430622,0.10047846889952153,0.009569377990430622
2,0.0430622009569378,0.03827751196172249,0.04784688995215311,0.03827751196172249,0.03827751196172249,0.014354066985645933,0.014354066985645933,0.009569377990430622,0.019138755980861243,0.009569377990430622
포착군집,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0
