,BW금액/총자본,CB금액/총자본,유상증자금액/총자본,최대주주변경을수반하는주식담보제공금액/총자본,최대주주변경을수반하는주식양수도금액/총자본,타법인주식및출자증권취득결정금액/총자본,특수관계인에대한자금대여금액/총자본,당기순이익/총자본,매출채권/총자본,매출총이익/총자본,영업이익/총자본,영업현금흐름/총자본,판매 및 관리비/총자본,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,조회공시요구카운트,최대주주변경카운트,결산기간_거래량증가,결산기간_주가변동률,차입금의존도,총자본,최대주주비율,최대주주비율_변동성
2012-01,55.92706796424774,15.383556584278422,106.2052701519369,0.0,33.266491165782604,43.52000827515452,5.225357456977993e-07,-0.04907349159916551,0.39084956015387673,0.024641951323995902,-0.031549880495014365,-0.016921201705223037,0.05615010024056088,0.0,0.10051993067590988,0.045060658578856154,0.08838821490467938,0.4662045060658579,0.12824956672443674,1.0437678219678126,1.0302014834942752,25.122192374350092,277623829.8563023,36.976344539742364,0.0014416457778468133
2013-01,102.05109601654583,30.048016330385508,53.85944107769513,0.0,27.955764358311036,87.7843499855389,5.562140131339692e-06,-0.30879627649712094,0.9490367069018214,0.08285863898605994,-0.10270977490348436,-0.030596593824403735,0.18557553175715819,0.012396694214876033,0.10330578512396695,0.07231404958677685,0.026859504132231406,0.46487603305785125,0.16735537190082644,inf,2.1010496786572177,34.15235192837466,165143532.84484333,30.50484044567872,0.005690006046957356
2014-01,18.427315236349873,43.839015497174294,110.44068710012638,0.0,352.8308618391465,58.06225043210766,8.945326658314057e-07,-1.3571513913010635,1.0003032233440812,-0.48118485796281657,-1.2475039385093827,0.0306675668232377,0.7663190782171255,0.05805243445692884,0.08426966292134831,0.06741573033707865,0.024344569288389514,0.36704119850187267,0.15917602996254682,inf,1.5222663619349899,32.876952247191014,112577131.2510955,31.51968868990293,inf
2015-01,4.8835054402329146,131.62703671000654,230.5234128512786,5.967073712031983,74.20458193207959,63.83934505959991,1.6227199597321768e-06,-0.5708714405191782,1.1582231872417585,0.008439522159212332,-0.7961693150409155,-0.7324322669697683,0.8046088589809631,0.07675438596491228,0.1074561403508772,0.10307017543859649,0.05482456140350877,0.5307017543859649,0.25877192982456143,inf,1.3184749947626089,31.703475877192982,122153636.53798793,29.543976233552627,inf
2016-01,13.634532036405057,258.08825679864844,56.69823630177267,49.55663522210857,65.36618536903732,56.06497681064281,0.0,-0.06359675531218228,0.4190438136276905,0.06772997337367115,-0.029217397895029203,-0.02630413630390278,0.09696661911239686,0.16561844863731656,0.13626834381551362,0.10272536687631027,0.027253668763102725,0.549266247379455,0.3333333333333333,inf,0.9585089576331611,29.57091719077568,61419273.96910901,27.578183171413468,inf
2017-01,12.129749245699728,195.90270313728266,21.901464097050717,51.624608426549884,74.1492346006587,51.01582182529958,0.0,-0.14261450798271993,0.3663090659966549,0.06830758832688197,-0.04648136289225939,-0.02355050244248825,0.11478895154988987,0.19527896995708155,0.13304721030042918,0.09227467811158799,0.07939914163090128,0.388412017167382,0.2918454935622318,inf,0.7537420867558132,26.99577253218884,53905600.75252683,25.86593453707965,inf
2018-01,19.739153519018984,310.2610160918726,34.90753030108423,45.43161222846882,94.59470415218414,83.30296210065165,0.0,-0.0778414678928538,0.4094742637000706,0.061895221904977905,-0.03838599604430124,-0.024063630771257324,0.1002812178189518,0.2596899224806202,0.15503875968992248,0.07364341085271318,0.031007751937984496,0.25,0.29844961240310075,inf,0.973860492257148,28.984278100775192,55748241.51215117,26.579451403450246,inf
2019-01,24.046442594047505,295.21263101719666,55.57538138484401,49.756460136510086,63.61569053405797,85.01759181956075,2.0665256043888508e-07,-0.11286564294518739,0.3477047135538567,0.06539470345870928,-0.055508734807585475,-0.03275051531844434,0.12090340320565787,0.18908382066276802,0.17738791423001948,0.09161793372319688,0.042884990253411304,0.18518518518518517,0.24561403508771928,inf,0.6480416672931834,30.322846003898633,62679709.596788496,27.210924482148794,inf
2020-01,13.900054167981649,234.4236287909349,84.33354003531386,52.48097046777659,38.02635219233186,60.867908488565824,1.4964483734133512e-06,-0.13477859655801652,0.3154804798379484,0.06289611190371591,-0.05809769920319659,-0.029946679058204133,0.12081546209766574,0.30297397769516726,0.1821561338289963,0.09665427509293681,0.040892193308550186,0.27695167286245354,0.23605947955390336,inf,0.43249762128051217,30.475534386617102,67902745.15408923,25.88123022244873,inf
2021-01,30.100047231398342,368.22195685894843,123.65723591719176,56.20787177954854,51.919791105515,59.866091795250604,0.0,-0.10746479384466294,0.3267289594546556,0.062296439684726576,-0.05095325095688554,-0.036512667400650005,0.11242557712370417,0.21016949152542372,0.13728813559322034,0.0847457627118644,0.01864406779661017,0.17457627118644067,0.21694915254237288,inf,0.7755351839625947,28.89795338983051,70374960.29704238,27.77819875292477,inf
