,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,영업현금흐름/총자본,총자본,최대주주비율,차입금의존도,매출총이익/총자본,매출채권/총자본,BW금액/총자본,조회공시요구카운트,결산기간_주가변동률,유상증자금액/총자본,최대주주비율_변동성,결산기간_거래량증가,최대주주변경카운트,타법인주식및출자증권취득결정금액/총자본,불성실공시법인지정카운트,CB금액/총자본,상호변경카운트,최대주주변경을수반하는주식양수도금액/총자본,업종변경카운트,경영권분쟁소송,특수관계인에대한자금대여금액/총자본,최대주주변경을수반하는주식담보제공금액/총자본
2012-01,0.2087224253596624,0.240975674598365,0.059152655615752676,0.08297380504307797,0.03316550008893863,0.012317883808477736,0.046725759629021285,0.22714567003993485,0.06095470142249613,0.005521000531439074,0.003383681321081617,0.007598160551241952,0.0007946926397635242,0.0041130507522555,0.0026772350059041648,0.0010267315181769529,9.935881640274667e-06,0.0010176540447216,0.000608419961238599,2.5385811340976843e-05,0.0004877643360490069,0.0005857729222636097,0.0,1.643911715657671e-05,0.0
2013-01,0.2256197226462126,0.2017713367421598,0.11299872621190415,0.08129006891701426,0.07699079153084322,0.07503014211024542,0.07139427061249572,0.07090473145579308,0.04589926146747539,0.010024958169889096,0.006873428572483969,0.004931508624008943,0.003584987279378269,0.0029064484993442793,0.002751361822493941,0.002107043598889821,0.001878958337331114,0.001357081163783112,0.0006041145554338122,0.0005816089087902924,0.0004100921143205873,7.268646434136895e-05,1.1958577646982439e-05,4.711617720795424e-06,0.0
2014-01,0.23734133137449495,0.2285108490003374,0.013146993708589249,0.09297975809309282,0.1525044639826688,0.05934483334362194,0.05866054834693723,0.046385993123214335,0.01008668953046698,0.00020176982768417085,0.006055251818819452,0.07910007194513631,0.0025734599413959757,0.00037521556961996353,0.0013752448989037419,0.0013840491860237904,0.0006191954764040165,0.0010042630415523673,0.007426050407174207,0.000596236687262681,0.00018235097723786234,4.125852161089798e-05,8.03678899310075e-05,2.3753307819841002e-05,0.0
2015-01,0.19923189595556767,0.2161704551153716,0.08283410251940095,0.076818865527065,0.11193465834746598,0.07422429774884402,0.05249083621733439,0.07985164095309423,0.026087093710693388,0.00013165457339683732,0.016562929438666506,0.014463458360681027,0.0014461808277418705,0.011498770633528223,0.0007056882641750123,0.005202887011380057,0.0012573284728100522,0.00173664819762316,0.023500690266853475,0.0012192593204669979,0.0021064781492007314,0.00028660216120043994,0.000162439282304283,4.7482838178075705e-06,7.039066131626397e-05
2016-01,0.17678726110235485,0.1656208470997921,0.079211792237706,0.09710344116217703,0.13084925965949448,0.0864772027858253,0.047747032122992514,0.06612736640807701,0.03087341550406956,0.00023587947155711544,0.009917995282648119,0.018856009887577248,0.0015355530378906813,0.022383685924672,0.0031264313874117184,0.008287603001301158,0.003910917597996213,0.0021422231956468585,0.04438082450260769,0.00101231491452073,0.0020942202815099763,5.824327512564963e-05,0.0002945350953943721,1.9194269451909352e-05,0.0009467507921997727
2017-01,0.20117518131149797,0.1785317838774678,0.09220483654079716,0.08137761486373411,0.12694351307004728,0.10305658457872045,0.03491525126770978,0.06401486080140781,0.02247535108289155,0.00017246649178704023,0.010708855315859168,0.025325500102834773,0.0008877452573335947,0.012405618454450512,0.0010514304142839146,0.0057111465891287625,0.00255661882890414,0.0024632837678556707,0.029492231201520697,0.0008540519517513615,0.0010904723364769183,0.00014766855513119082,0.0005918395852169759,2.8790295598026966e-05,0.0018173034575933397
2018-01,0.17684434989589254,0.17067476231555415,0.08717319490098764,0.08536793016604327,0.12177032996547879,0.09473930289770632,0.05324645164262265,0.06530485321142464,0.02669484151070981,0.0003842324475038098,0.0027432134964607696,0.020547303206717243,0.00028772040133976154,0.022243489233335044,0.007426899319246424,0.00851216068920473,0.003583552789147316,0.003301882057462199,0.04416327836821185,0.0003642833597842774,0.002108344828566815,2.101992359596015e-05,0.0007036109445184657,3.113399968131637e-05,0.0017618584288042654
2019-01,0.1916072905697942,0.19413076369485607,0.10187372842841459,0.10144268987488433,0.12188739895294104,0.08108670051953905,0.04751975481532863,0.06297552171281083,0.02046214525656791,0.00028397014182068896,0.00250082040071171,0.015705999040109875,0.0017147292731406515,0.003598930378181907,0.006863144970881337,0.005400616177572023,0.002705571505116458,0.00315087459136506,0.031288324468111944,0.001086008986804552,0.001077457963321768,1.6006402250139655e-06,0.0003544859065282842,3.927232942858007e-05,0.0012421994015433704
2020-01,0.19555255616865375,0.18672603170725774,0.09436684413466041,0.09981920591913625,0.11256176658520621,0.10291650398704703,0.04394670732769916,0.06741041204278603,0.019173470493753394,0.00014322642337397494,0.0031830836647579073,0.016380027685757942,0.0026167146713611173,0.0126829288012148,0.0004036295673974318,0.005258439291972228,0.0027035650515505865,0.00412112403289562,0.026166347191753318,0.0010735238810613763,0.0005497658632920062,0.0002036473096757169,0.0010415566838667878,4.5000705470429215e-05,0.0009539208083989746
2021-01,0.19337373263987423,0.18070388089017334,0.10599281786101669,0.09314024396764853,0.11834471132216057,0.07565352563162134,0.05561634708795705,0.06469234389773035,0.023798668261304133,0.0004108102800786234,0.001349216471210256,0.016689030521732193,0.005606603059534687,0.01039361112383766,0.0001344741372672677,0.0030504064156594395,0.0017962527224101384,0.0022515969001206644,0.04518905447126531,0.00034734645734350736,0.00020377999041931456,7.599181094400152e-06,0.0005784765124496984,5.5653611994271365e-05,0.0006198165840963616
