,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,0.26666666666666666,0.3076923076923077,0.08333333333333333,0.3333333333333333,0.2222222222222222,0.576923076923077,0.7586206896551724,0.15384615384615385,0.16666666666666666,0.75
1,0.13333333333333333,0.07692307692307693,0.08333333333333333,0.2222222222222222,0.3333333333333333,0.3076923076923077,0.13793103448275862,0.7692307692307693,0.7,0.125
2,0.6000000000000001,0.6153846153846154,0.8333333333333333,0.4444444444444444,0.4444444444444444,0.11538461538461539,0.10344827586206896,0.07692307692307693,0.13333333333333333,0.125
포착군집,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0
