,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01,2021-04,2021-07,2021-10,2022-01,2022-04,2022-07
0,610.0,585.0,511.0,486.0,497.0,515.0,492.0,588.0,534.0,518.0,493.0,605.0,621.0,608.0,576.0,535.0,507.0,521.0,537.0,684.0,586.0,569.0,694.0,579.0,682.0,553.0,563.0,711.0,623.0,605.0,596.0,624.0,683.0,544.0,567.0,700.0,714.0,756.0,649.0,757.0,582.0,577.0,654.0
1,499.0,516.0,609.0,598.0,502.0,512.0,590.0,537.0,499.0,507.0,595.0,542.0,527.0,550.0,498.0,601.0,584.0,585.0,649.0,574.0,533.0,559.0,550.0,657.0,577.0,620.0,637.0,554.0,724.0,600.0,613.0,763.0,548.0,704.0,725.0,755.0,705.0,596.0,737.0,564.0,747.0,750.0,798.0
2,485.0,503.0,487.0,524.0,606.0,578.0,518.0,491.0,585.0,593.0,534.0,505.0,507.0,508.0,612.0,581.0,635.0,636.0,571.0,521.0,666.0,678.0,589.0,614.0,603.0,693.0,687.0,654.0,569.0,714.0,733.0,581.0,740.0,728.0,707.0,559.0,606.0,691.0,670.0,734.0,727.0,720.0,587.0
기업수,1594.0,1604.0,1607.0,1608.0,1605.0,1605.0,1600.0,1616.0,1618.0,1618.0,1622.0,1652.0,1655.0,1666.0,1686.0,1717.0,1726.0,1742.0,1757.0,1779.0,1785.0,1806.0,1833.0,1850.0,1862.0,1866.0,1887.0,1919.0,1916.0,1919.0,1942.0,1968.0,1971.0,1976.0,1999.0,2014.0,2025.0,2043.0,2056.0,2055.0,2056.0,2047.0,2039.0
