,매출총이익,총자본,영업이익,당기순이익,매출채권,판매 및 관리비,영업현금흐름,최대주주비율,경영권분쟁소송+최대주주변경카운트+불성실공시법인지정카운트+조회공시요구카운트+상호변경카운트+업종변경카운트,차입금의존도,결산기간_주가변동률,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액+타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액+BW금액+CB금액+유상증자금액,최대주주비율_변동성,결산기간_거래량증가
2012-01,0.17615563079739416,0.1445062706543067,0.13397113211832737,0.1087959627311218,0.10721540407598107,0.1026514565951472,0.07143313600022211,0.06427713896263215,0.02926456616808787,0.006497367886279412,0.017094945739352527,0.013520327521945374,0.019815553214573192,0.004801107534629117
2012-04,0.15544567175714233,0.12349910085953346,0.146143029420133,0.13202417154485768,0.07587924708555084,0.07372746111395563,0.06740693581591914,0.10374917496557343,0.043592553073756105,0.03017732184968169,0.012769597762122348,0.014313731240781549,0.020238727846259644,0.0010332756647332536
2012-07,0.17235409067609483,0.1425133282411029,0.13853356546077203,0.11756881892903828,0.09289122705685926,0.09308888427072814,0.06985504959438646,0.0808000096968535,0.032866400276129325,0.02195956281655649,0.01381163383989502,0.016159125997690458,0.006747429743776176,0.0008508734001171003
2012-10,0.15638475290016327,0.12720475042343235,0.14875754858416257,0.12721233839157875,0.08232966391175175,0.07836547725488566,0.07792472509750249,0.08998172511420836,0.031082545400657524,0.03813245927777251,0.015382095250435475,0.02076609144226327,0.005581051846191789,0.000894775104994366
2013-01,0.17399145311069122,0.14417142292194451,0.14268424857160106,0.11050265867161502,0.10230825460816126,0.09913856387630711,0.07331204801719898,0.06647645700798333,0.029502858928975792,0.023881785681484326,0.01712540638993261,0.01520851830803715,0.0010247961614373716,0.0006715277446302991
2013-04,0.172809843366838,0.13817563302697786,0.14460809455783108,0.11836141534607633,0.09182310257477852,0.09531225835623645,0.10178850589228464,0.04916582020570667,0.02336108182291452,0.030349060597026415,0.016695703000677135,0.01607856958163219,5.197429231351911e-05,0.001418937378706644
2013-07,0.18064792625943282,0.15217446557312517,0.14122545141644507,0.10389498330504891,0.10429286512004349,0.11647840951814382,0.08518051177227715,0.042220061881301646,0.01846215697744958,0.023092281477331163,0.020828289436475925,0.010004405633865841,0.0005810856651163579,0.0009171059639429735
2013-10,0.1815268576509565,0.15090066831014584,0.13562289842846958,0.10009444043508722,0.11048975683853686,0.11661631908220939,0.08013186520079109,0.04796569902191363,0.019215183697748137,0.023607337859485798,0.021912611605511938,0.006764565859435719,0.002096459767594551,0.003055336242113918
2014-01,0.15531514564345086,0.13129987225338882,0.1439814074796264,0.12633933305313594,0.08168638446700908,0.08295406367746967,0.08011264782559085,0.07636530125535226,0.026708965856030022,0.050122409014900664,0.016972805356991333,0.02088626303822243,0.004924339306115153,0.002331061772716525
2014-04,0.17749413970112213,0.15582004222743553,0.1279937660775478,0.09411532253432406,0.11832331982895362,0.12414766717735529,0.07795105476212955,0.04455257770886348,0.019979772978811393,0.015184638631262218,0.02453183605392492,0.009077314627949981,0.004616341147684822,0.006212206542635285
2014-07,0.18351357764649237,0.15640003665965235,0.12841917180390627,0.09213956975840448,0.1223821076342601,0.129679650782609,0.07276494908068869,0.03827918835003777,0.02498182818166119,0.010986784183407072,0.024263692967097666,0.006904258364374164,0.0014827038263239478,0.007802480761084987
2014-10,0.1794860002618636,0.15544495680773904,0.12435678983647565,0.09373734449122363,0.12261833756946276,0.1309144054911245,0.07374493431718487,0.04050272981224428,0.024555720889807054,0.009712752968018485,0.025536578015547772,0.007640321440249732,0.004600949737343466,0.007148178361715182
2015-01,0.17111232248601163,0.15282543120847336,0.12666924308031943,0.0910361457766664,0.12249074219249118,0.12125691564491355,0.08076044513825216,0.044738123851231174,0.03598951128726156,0.0074894583822761,0.0252272817012527,0.005081290692374598,0.007197356837263344,0.00812573172121291
2015-04,0.1682492284658771,0.15067216274246828,0.1337270991113569,0.09516870664546563,0.11418450409323164,0.11820932164694627,0.08262405468406978,0.045921583988394764,0.03857552344360329,0.005973521359325805,0.02083495908282046,0.011202832544567467,0.00461258572796908,0.010043916463903568
2015-07,0.17017102872531017,0.14667172103926193,0.13088212437629657,0.09299979500487825,0.11263970638865892,0.11677575640854482,0.08458353426288676,0.04555022713077985,0.037432244497148735,0.006906253845969134,0.020748225397904465,0.01353713104901802,0.008136412241348234,0.012965839631994316
2015-10,0.15768305885252132,0.14757970511971158,0.12250148062454716,0.09429064533898798,0.10527794300987758,0.11148084830537576,0.08689603583888435,0.05471812636642457,0.037055205363792365,0.008656713351097972,0.01990303094825102,0.022310241147902674,0.01929916861046074,0.012347797122164718
