,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01
0,0.0,0.0,0.9333333333333332,0.06666666666666667,0.06666666666666667,0.888888888888889,0.0,0.14285714285714288,0.8636363636363636,0.037037037037037035,0.058823529411764705,0.0,0.06249999999999999,0.03571428571428571,0.10714285714285715,0.07142857142857141,0.03571428571428571,0.0,0.9354838709677419,0.9354838709677419,0.0,0.07272727272727272,0.0,0.022727272727272728,0.022727272727272728,0.8676470588235293,0.9272727272727274,0.017857142857142856,0.017543859649122806,0.8857142857142857,0.0,0.9069767441860466,0.0,0.85,0.8333333333333333,0.8157894736842105,0.14893617021276595
1,1.0,0.9523809523809523,0.06666666666666667,0.8666666666666666,0.06666666666666667,0.11111111111111112,0.9090909090909091,0.0,0.0,0.0,0.9411764705882353,0.058823529411764705,0.9375,0.10714285714285715,0.8928571428571429,0.8928571428571428,0.9285714285714285,1.0,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.9272727272727272,0.13636363636363638,0.1590909090909091,0.8409090909090909,0.029411764705882353,0.018181818181818184,0.9107142857142857,0.9122807017543859,0.0,0.1111111111111111,0.0,0.9047619047619047,0.024999999999999998,0.027777777777777776,0.15789473684210525,0.042553191489361694
2,0.0,0.047619047619047616,0.0,0.06666666666666667,0.8666666666666667,0.0,0.0909090909090909,0.8571428571428572,0.13636363636363638,0.9629629629629629,0.0,0.9411764705882353,0.0,0.8571428571428572,0.0,0.035714285714285705,0.03571428571428571,0.0,0.0,0.0,0.9677419354838709,0.0,0.8636363636363636,0.8181818181818182,0.13636363636363638,0.10294117647058823,0.05454545454545455,0.07142857142857142,0.07017543859649122,0.1142857142857143,0.8888888888888888,0.09302325581395349,0.09523809523809523,0.125,0.1388888888888889,0.02631578947368421,0.8085106382978723
포착군집,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0
