,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01
0,0.009569377990430622,0.014354066985645933,0.06220095693779904,0.009569377990430622,0.014354066985645933,0.028708133971291867,0.004784688995215311,0.009569377990430622,0.03827751196172249,0.014354066985645933,0.028708133971291867,0.004784688995215311,0.028708133971291867,0.028708133971291867,0.009569377990430622,0.014354066985645933,0.03349282296650718,0.023923444976076555,0.023923444976076555,0.04784688995215311,0.03349282296650718,0.014354066985645933,0.019138755980861243,0.014354066985645933,0.014354066985645933,0.10047846889952153,0.09569377990430622,0.019138755980861243,0.014354066985645933,0.09569377990430622,0.023923444976076555,0.10526315789473684,0.023923444976076555,0.09569377990430622,0.07655502392344497,0.06220095693779904,0.004784688995215311
1,0.0430622009569378,0.06698564593301436,0.009569377990430622,0.0430622009569378,0.019138755980861243,0.014354066985645933,0.014354066985645933,0.009569377990430622,0.004784688995215311,0.014354066985645933,0.05741626794258373,0.028708133971291867,0.028708133971291867,0.009569377990430622,0.03349282296650718,0.028708133971291867,0.028708133971291867,0.028708133971291867,0.0430622009569378,0.03349282296650718,0.028708133971291867,0.08133971291866028,0.019138755980861243,0.019138755980861243,0.11004784688995216,0.014354066985645933,0.014354066985645933,0.1291866028708134,0.10526315789473684,0.023923444976076555,0.009569377990430622,0.019138755980861243,0.10047846889952153,0.019138755980861243,0.023923444976076555,0.004784688995215311,0.009569377990430622
2,0.019138755980861243,0.009569377990430622,0.019138755980861243,0.019138755980861243,0.028708133971291867,0.004784688995215311,0.009569377990430622,0.009569377990430622,0.014354066985645933,0.0430622009569378,0.009569377990430622,0.05741626794258373,0.028708133971291867,0.04784688995215311,0.028708133971291867,0.05263157894736842,0.023923444976076555,0.03349282296650718,0.023923444976076555,0.019138755980861243,0.06220095693779904,0.028708133971291867,0.10047846889952153,0.10047846889952153,0.014354066985645933,0.019138755980861243,0.023923444976076555,0.004784688995215311,0.004784688995215311,0.004784688995215311,0.10526315789473684,0.019138755980861243,0.019138755980861243,0.028708133971291867,0.009569377990430622,0.019138755980861243,0.06220095693779904
포착군집,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0
