,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01,2021-04,2021-07,2021-10,2022-01,2022-04,2022-07
0,463.0,590.0,503.0,506.0,492.0,501.0,514.0,588.0,535.0,580.0,597.0,503.0,621.0,534.0,620.0,621.0,505.0,521.0,560.0,558.0,558.0,671.0,584.0,605.0,576.0,582.0,637.0,652.0,610.0,582.0,597.0,608.0,548.0,731.0,739.0,765.0,700.0,686.0,657.0,562.0,572.0,578.0,581.0
1,524.0,504.0,504.0,525.0,612.0,593.0,501.0,481.0,494.0,502.0,533.0,606.0,523.0,601.0,521.0,523.0,575.0,588.0,653.0,683.0,662.0,565.0,702.0,718.0,593.0,570.0,562.0,549.0,576.0,606.0,752.0,580.0,683.0,526.0,551.0,689.0,581.0,615.0,667.0,729.0,731.0,724.0,798.0
2,607.0,510.0,600.0,577.0,501.0,511.0,585.0,547.0,589.0,536.0,492.0,543.0,511.0,531.0,545.0,573.0,646.0,633.0,544.0,538.0,565.0,570.0,547.0,527.0,693.0,714.0,688.0,718.0,730.0,731.0,593.0,780.0,740.0,719.0,709.0,560.0,744.0,742.0,732.0,764.0,753.0,745.0,660.0
기업수,1594.0,1604.0,1607.0,1608.0,1605.0,1605.0,1600.0,1616.0,1618.0,1618.0,1622.0,1652.0,1655.0,1666.0,1686.0,1717.0,1726.0,1742.0,1757.0,1779.0,1785.0,1806.0,1833.0,1850.0,1862.0,1866.0,1887.0,1919.0,1916.0,1919.0,1942.0,1968.0,1971.0,1976.0,1999.0,2014.0,2025.0,2043.0,2056.0,2055.0,2056.0,2047.0,2039.0
