,매출총이익,총자본,영업이익,당기순이익,판매 및 관리비,매출채권,영업현금흐름,최대주주비율,차입금의존도,결산기간_주가변동률,BW금액+CB금액+유상증자금액,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,최대주주변경카운트,최대주주비율_변동성,상호변경카운트+업종변경카운트,결산기간_거래량증가,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액
2012-01,0.1822347741830899,0.15011696512748385,0.13621080796789273,0.10453181086230351,0.10981919570288985,0.11502605300356485,0.0719735318539623,0.05643145591863895,0.0024289266633772066,0.017768298300573606,0.013036564976445883,0.017398148596294554,0.0019020642574176718,0.01632501714982247,0.0006163038673055698,0.002810783238134874,0.0008504810361042672,0.0005188172946979168
2012-04,0.1603373500935708,0.13089008657112666,0.14587689663966671,0.13011734634836977,0.07778761331039225,0.07656865144743075,0.06889050722859257,0.09325195174835028,0.029383160094483704,0.01296738171413867,0.021027780099339522,0.028726390756990516,0.0034469080550557484,0.018172803746791512,0.0008307865994230381,0.0005892917560243367,0.0006884737232840803,0.0004466200669691067
2012-07,0.1621863033588525,0.1396910659201708,0.13474588932247464,0.11690640608775177,0.08652116989830781,0.08792937134377778,0.07147141981396439,0.09315172368161521,0.025735444983392163,0.013194847319004267,0.02674335411749689,0.025125019127825374,0.004044217972605352,0.009344423040534275,0.0008051963283370124,0.0008418647990675803,0.0009604871987969746,0.0006017956860253035
2012-10,0.16587036732158303,0.13329462074035725,0.15212554064560846,0.12295308916773558,0.08776195422228748,0.08944412968479488,0.0854191134778582,0.07328980435514897,0.02682393184628606,0.015500197609300374,0.021734717588637334,0.016752755373703607,0.0022896408767996024,0.00186501125218127,0.0014811110797546927,0.0020563199216587567,0.0007856053822478057,0.0005520894540566554
2013-01,0.18197494630456063,0.14535334094672298,0.1406791178605781,0.10920829436171314,0.10620475189439507,0.10430338024088559,0.07358416975911199,0.05949377130532037,0.019533986613018882,0.01803406331286782,0.016955086570105617,0.016061089818522147,0.0029403617974588406,0.001969654521501363,0.0015375485890417645,0.0009176228538926039,0.000733748149471004,0.0005150651008320939
2013-04,0.17681860057536186,0.1419140953129649,0.141530584652944,0.11434452473960785,0.09927536839097353,0.0939011133714244,0.09986467218650623,0.05005547877024237,0.026156014072000237,0.016856991958870134,0.01877073718056646,0.012842792742132325,0.0033766265362243446,8.89111238538175e-05,0.0017643219458432504,0.0012067619185075124,0.000878765112929958,0.00035363940904694816
2013-07,0.17597414893975946,0.143720847263719,0.14800593143077265,0.11112925317939959,0.10329897192875881,0.09472119608870594,0.09156462750682365,0.0472014544057456,0.029629912895989968,0.018287262447208432,0.016456988662419167,0.011442243664922599,0.003097716782648462,0.0012277482011620925,0.001206900752824834,0.0021689660485033897,0.0005791310722692235,0.0002866987283669655
2013-10,0.1875933319958602,0.16064464033475231,0.12846924750901903,0.09243030949674068,0.13031026993592268,0.12164235222636892,0.07689934059758037,0.03830813534383107,0.014380734548798369,0.023787287321084594,0.008755075375420427,0.00696376103598882,0.003113012651722094,0.0018033284802133724,0.0009059105433079912,0.003555378131865284,0.00026523466640409016,0.00017264980511956464
2014-01,0.18342438297662303,0.16425017097996727,0.11978568227999802,0.08778845075643942,0.13180029890989134,0.12976081878899628,0.07675694428745505,0.04798210474311668,0.010262412670932848,0.02355513801364378,0.009975644110008909,0.008969983386400458,0.0018324968610933744,0.0005783933641099491,0.0006190503075024779,0.002101180352821792,0.0004112270768463362,0.00014562013415303138
2014-04,0.17520778952751334,0.1524550783552183,0.13324824596910498,0.10037623538099115,0.11909229237082114,0.11317855703980614,0.07905136352206978,0.04556999854203878,0.01945177133428972,0.024471944488672737,0.010475396386615533,0.013277918501212852,0.002144698331966343,0.004451140648220791,0.0007763549560017322,0.005900322223898472,0.0006107349886524046,0.00026015743290600896
