,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2021-01
0,169.0,191.0,226.0,125.0,194.0,239.0,158.0,198.0,194.0,218.0
1,187.0,203.0,165.0,182.0,196.0,204.0,229.0,197.0,253.0,340.0
2,148.0,103.0,155.0,208.0,174.0,152.0,208.0,186.0,266.0,212.0
기업수,504.0,497.0,546.0,515.0,564.0,595.0,595.0,581.0,713.0,770.0
