,BW금액,CB금액,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식담보제공금액,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,특수관계인에대한자금대여금액,결산기간_거래량증가,결산기간_주가변동률,당기순이익,매출채권,매출총이익,영업이익,영업현금흐름,차입금의존도,총자본,최대주주비율,판매 및 관리비,최대주주비율_변동성
2012-01,2964469524.0641713,525449197.86096257,0.0,0.17647058823529413,0.06951871657754011,0.11229946524064172,5242448545.754011,0.8716577540106952,0.0,1229125789.8395722,0.21390374331550802,3049525671.802139,149.7326203208556,1.2566590064204712,1.576348627875637,-3100143.8499688054,23632184.032807488,1296395.0270142602,-2052737.6585071287,-549951.0297638142,30.104264705882347,45448504.15115866,23.980395818958097,3349132.684157753,-0.024038876566762547
2013-01,2954360837.4384236,817821717.7142857,0.009852216748768473,0.10344827586206896,0.08374384236453201,0.029556650246305417,451233855.51724136,0.5123152709359606,0.0,1170318318.6453202,0.16748768472906403,1187566411.674877,0.0,inf,0.20750541933356162,-1351623.2497783247,8610562.100665024,1157579.307450739,-495616.3540968801,-160038.69449917896,28.750381773399017,29541131.41731527,32.53027606748968,1648038.5450697867,-0.009624044443945087
2014-01,268716814.15929204,2947004942.137168,0.022123893805309734,0.11946902654867257,0.06637168141592921,0.02654867256637168,9997554448.349558,0.4646017699115044,0.0,522079646.0176991,0.19911504424778761,2149032560.6238937,306.94690265486724,inf,2.1451960607092375,-13188734.051084071,37518651.92414823,-2753012.8422677,-6360202.304502212,-2875536.8365265485,43.94230088495575,33816939.36955752,24.684776312082345,3607189.4491703543,0.05203113462784905
2015-01,344000000.0,7374460430.624,0.024,0.216,0.144,0.088,602750238.632,0.84,609839960.0,4848336310.224,0.44,3608145841.616,0.0,2.010792260114796,0.6118973501381278,-2867221.5615199995,15871109.174400002,1455652.68872,-1401051.10782,-956929.5067000006,35.59816,36101409.505839996,23.82648888064515,2856703.81236,-0.03136622419772827
2016-01,1116722448.9795918,15498050056.265306,0.4642857142857143,0.3010204081632653,0.1989795918367347,0.02040816326530612,9855903220.142857,0.8775510204081632,2513090061.4387755,4123535947.7959185,0.7244897959183674,5340898341.433674,737.4897959183673,inf,1.0631268229750457,-8097462.658205782,19508116.626836736,141258.4502933672,-3725497.3585204086,-1097168.573227041,34.62963010204082,37826052.932984695,20.344376993114313,3866755.8027040814,inf
2017-01,616315789.4736842,18443701075.598682,0.3618421052631579,0.3092105263157895,0.15789473684210525,0.1118421052631579,7191502875.802631,0.6447368421052632,5060245283.881579,3725408849.625,0.6973684210526315,5002238284.269737,0.0,inf,0.8945461180289036,-6283512.186781797,17149901.515098684,1522720.9467653506,-2018481.78372807,-1460463.6757565793,35.03259868421053,45398894.55838816,17.368012811349367,3541202.734868421,inf
2018-01,5807753164.556962,27072700632.911392,0.5316455696202531,0.3670886075949367,0.18354430379746836,0.012658227848101266,2571701290.367089,0.4810126582278481,3586236703.253165,5719362419.816456,0.689873417721519,9546305568.493671,0.0,inf,1.6416872847106643,-4551887.133560127,19793220.89577532,1734286.9821518993,-2447030.7746677212,-1958795.9409704641,33.78424050632911,61461919.20501583,19.87813345351732,4181317.7672151895,0.0055856957330666255
2019-01,2354838707.935484,20694283927.2043,0.1989247311827957,0.41935483870967744,0.1935483870967742,0.053763440860215055,1448133377.8763442,0.3870967741935484,6716282923.215054,4735272606.360215,0.6182795698924731,9062530548.04301,0.0,inf,0.4923947748237064,-4100084.9292159495,11877165.646854836,1909191.5925089607,-1462864.392750896,-1093342.8172894265,36.207795698924734,47026684.19147849,19.328319370137248,3372049.1375716846,inf
2020-01,1952569169.9604743,15658576185.77075,0.40711462450592883,0.2766798418972332,0.16205533596837945,0.05138339920948617,5655156672.106719,0.30039525691699603,1636247149.9486165,1948938064.9288538,0.3201581027667984,7976413445.027668,3438.7351778656125,inf,0.5011686988191834,-8782394.456021082,16327157.12021739,587650.0015678525,-4757962.637414361,-2439075.58120224,38.62948616600791,79921388.29052372,20.83069441858982,5341926.114706851,inf
2021-01,2077981651.3761468,22084511322.25688,0.2981651376146789,0.24311926605504589,0.11467889908256881,0.013761467889908258,9932790513.298164,0.23394495412844038,3062420673.9220185,1248580779.7706423,0.3394495412844037,6058383525.788991,91.74311926605505,inf,1.2794063784481844,-6921556.316292048,17208782.233520642,1541120.7517163607,-3940853.5194189604,-2649400.1321827215,37.300974770642206,79644830.67447247,21.744968065625926,5478894.763302753,-0.0041234918159533595
