,매출총이익,총자본,영업이익,당기순이익,판매 및 관리비,매출채권,영업현금흐름,최대주주비율,결산기간_주가변동률,차입금의존도,조회공시요구카운트,BW금액,최대주주변경카운트,최대주주비율_변동성,유상증자금액,불성실공시법인지정카운트,상호변경카운트,결산기간_거래량증가,타법인주식및출자증권취득결정금액,CB금액,최대주주변경을수반하는주식양수도금액,업종변경카운트,특수관계인에대한자금대여금액,경영권분쟁소송,최대주주변경을수반하는주식담보제공금액
2012-01,0.16769726788585906,0.12797648395588454,0.15898285897784,0.14116022517772278,0.07915055676604055,0.07677995166678808,0.06879938690930325,0.08207191648943339,0.014447126574249543,0.027318883633139147,0.014491553857659456,0.01085728470655051,0.0017717193831174175,0.02010595733693162,0.0018505577385378113,0.0024753818615914605,5.639749032613367e-06,0.0011413310496584525,0.0006634031874206915,0.0013158216202881848,0.0005079046857470043,0.00040175080000059206,2.7035987204009137e-05,0.0,0.0
2013-01,0.18004831361623352,0.14664161364439,0.14054561979707897,0.10746864455590502,0.10605940509336256,0.10451174024916413,0.07613679807030843,0.06474036853116104,0.01865790977945015,0.01797496974344562,0.012746586502395582,0.011015927993399555,0.003104240082314833,0.0025770936372724743,0.0019361433210495988,0.0019321630328645218,0.0009838478527842967,0.0009711056286405577,0.0006396232803394103,0.0005529782114652673,0.000538478342085306,0.00017206005552684089,3.3151876583667146e-05,1.1217102778767818e-05,0.0
2014-01,0.18051450906603214,0.15842981009959015,0.12711593912861976,0.0982986963731014,0.12277130031146566,0.1202860410902726,0.0791569119767749,0.04990285952778066,0.024057106551087684,0.0182076983863471,0.0075075426536026805,0.00023537921992015508,0.0016851569535606301,0.0012397845322774125,0.001666948105077584,0.0009628765131471179,0.00029498796138190364,0.001930285631229484,0.0005369365793729167,0.004909879428903376,0.00017307479474346752,2.6879987964657507e-05,1.8405810593914894e-05,7.09893171525778e-05,0.0
2015-01,0.1354908923540317,0.13157998169377716,0.1449524380073026,0.12713432222970114,0.07460194237957596,0.08184835310731353,0.09010370530948586,0.07669710072002282,0.01624076424303854,0.05047044590065226,0.025498473309696547,0.00013578569416528905,0.005769765013288391,0.007799289365983172,0.0013431437306514998,0.001488862595596154,0.0009372454118669288,0.004092104852896799,0.0006240967169891278,0.020475695694934543,0.0019158799259342424,0.0006579027931438582,1.4948037166096398e-05,8.586088545938806e-05,4.1000027326430785e-05
2016-01,0.16101394083628748,0.14400201389030687,0.11676431204845206,0.08435174827595499,0.11640139931561552,0.11349773474604818,0.08667279352891902,0.058994026616605404,0.020357777261241085,0.007054009700464613,0.01491860808955714,0.0001337652737653411,0.0075741044441451294,0.02708476707428004,0.00033014100403922435,0.0015118780464017274,0.0008199100061946702,0.009864802515518974,0.001241982737927778,0.024803141347617522,0.0019492023830545943,5.574083174011255e-05,2.1830695201112443e-05,0.00027259381092953913,0.00030777551973191857
2017-01,0.1615222439116798,0.14953161843162044,0.13014059556137902,0.11060919521023534,0.1089959997363601,0.11371201186466735,0.07959033885043404,0.06672566432880285,0.022835875131942004,0.0069999568231631755,0.007234346564669137,0.0001823861494866412,0.005431436858357985,0.01084958073482654,0.0006256692138424798,0.0017540215175858866,0.0003953921935222104,0.0019139564209127162,0.0005555036288580193,0.018001447947132584,0.000606704540907101,0.00017169742298207008,3.530391543592014e-05,0.0007538534301269697,0.0008251996110696444
2018-01,0.15651831083912154,0.13383073965309855,0.11844679955748509,0.0963627689757453,0.1017702411562166,0.10047719559354831,0.07265360833705087,0.09776884956326888,0.019730004051263395,0.018565659910621684,0.0037976580436124073,0.0004306159497655677,0.008390178675444376,0.016901532097104793,0.0003835032520545227,0.0027756244755321405,0.0010802589001074844,0.010311859774207531,0.0029500517622838827,0.03311223281043881,0.0018688638538500177,8.784237861104266e-06,2.8757019048601685e-05,0.000520501008721152,0.001315400502547421
2019-01,0.14945055488869874,0.13825111442092566,0.116867503841335,0.09828524034005218,0.09352825843059513,0.1089028957132946,0.07590795318807121,0.09432051859507054,0.021354308385422276,0.02426753217769911,0.0035391441493255525,0.0001860503857477122,0.008114781143928692,0.0065639334448384015,0.0008480833529987581,0.003942861583474725,0.0012069483121872233,0.017339542808173545,0.0022870977892121155,0.03191352395652965,0.0013377697474378336,2.486247680974179e-05,5.289239900419574e-05,0.0004934579483555658,0.0010131705208118501
2020-01,0.16838086413875392,0.14691636374846592,0.11264990831928628,0.08412021001430289,0.11285098177764714,0.11868295291487187,0.1046256813880522,0.07044592935548104,0.02352674811751894,0.013803741309362544,0.003322524806796289,0.00016118257885564308,0.00427065997890337,0.011481873560812426,0.0011750046152157166,0.0025726183886341097,0.0006368553210319415,0.0013995011628506106,0.000977799898989825,0.016101773142196456,0.0004780791528205573,7.634054698847043e-05,7.61096018076169e-05,0.000867415753637181,0.000398880406717059
2021-01,0.15932073688970694,0.13612231402139158,0.1304923979010064,0.11669616276662553,0.09837550576241219,0.11344638229593115,0.09162129608245406,0.06972773580631199,0.023007765194899554,0.019990427442177057,0.0006159483705068171,0.0004209403086267643,0.002900554728680546,0.00268899071051105,0.0029490398845039884,0.0012983918993013824,0.00044028991074173014,0.0015098426949014844,0.0017812083015451541,0.02521972145224515,0.00030907938484300173,1.5214450042263769e-05,4.040825073491452e-05,0.00068629909540678,0.0003233463944924621
