,BW금액,CB금액,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식담보제공금액,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,특수관계인에대한자금대여금액,결산기간_거래량증가,결산기간_주가변동률,당기순이익,매출채권,매출총이익,영업이익,영업현금흐름,차입금의존도,총자본,최대주주비율,판매 및 관리비,최대주주비율_변동성
2012-01,2400737501.984127,431445483.5416667,0.0,0.12896825396825398,0.04365079365079365,0.09126984126984126,2300144464.3353176,0.5535714285714286,0.0,750757354.4484127,0.15674603174603174,2057311335.8948412,55.55555555555556,inf,1.0639396815586808,-3777912.863847553,20122598.221795633,227120.4095436509,-2328320.9931183862,-6611.100385251307,28.113601190476192,46216394.59441799,30.523761008256827,2555445.051486442,-0.0002522178897360535
2013-01,2435137726.358149,601276496.3702214,0.012072434607645875,0.11670020120724346,0.07847082494969819,0.030181086519114688,1505632944.5593562,0.46680080482897385,0.0,747245018.5694165,0.19114688128772636,2373942747.6720324,226.99597585513078,inf,1.5557129421267464,-6421057.909237089,32841792.95735916,-668317.3968913478,-3877266.3191230725,-1488903.6752095914,29.62315392354125,43683083.93561871,30.594342861215885,3207169.934218645,0.005232503411511038
2014-01,167344322.34432235,1482826221.470696,0.06593406593406594,0.08608058608058608,0.06043956043956044,0.023809523809523808,4619218511.230769,0.34615384615384615,0.0,518700278.4358974,0.16483516483516483,1330032201.8406594,127.05128205128206,inf,1.3260219013980312,-5826225.997217643,20796078.15253205,-210945.19399267403,-2741322.395477717,-1217581.2209645913,29.133846153846154,34327308.14771978,32.00369419750319,2530377.2021245426,inf
2015-01,442912621.3592233,3256440997.724272,0.06407766990291262,0.0970873786407767,0.0970873786407767,0.062135922330097085,2323875614.6737866,0.5475728155339806,179512611.65048543,1486776962.0970874,0.2504854368932039,3964528892.029126,79.90291262135922,inf,1.3087559724450948,-6590679.94521521,48019617.349616505,-1053669.5402524276,-5291821.599245954,-956086.8407459549,30.398432038834954,55348543.19942233,29.87667897510178,4238152.069266991,inf
2016-01,460775886.5248227,6332565469.292553,0.1879432624113475,0.11879432624113476,0.09574468085106383,0.024822695035460994,3680460626.847518,0.5673758865248227,1089943341.177305,1966572820.5248227,0.3102836879432624,2284951395.400709,256.290780141844,inf,0.8362461597107453,-3260910.3224571506,13229231.119091311,1113219.6718631797,-1457816.405305851,-428295.8569459219,25.03933953900709,39349421.86699025,29.593659043216277,2575060.1129683806,inf
2017-01,656605042.0168067,6109340027.715966,0.2,0.11260504201680673,0.07899159663865546,0.07226890756302522,2400711259.3613443,0.34285714285714286,1541295459.5260503,1699316194.2403362,0.2672268907563025,1825741525.2789917,0.0,inf,0.769709329183912,-7090654.370264705,14222174.084070027,1492339.2324383755,-1317326.7769383756,24991.19139075625,23.76855882352941,38851744.109163865,28.680684047254886,2809666.003861345,inf
2018-01,1823235294.1176472,10015289513.94958,0.23025210084033612,0.13949579831932774,0.08403361344537816,0.03529411764705882,1400350682.610084,0.253781512605042,1668711072.5596638,2508822162.8033614,0.27563025210084036,3542540936.568067,0.0,inf,0.9055154959526761,-2232037.0235,13309097.049764706,1680826.150107843,-1209001.2593949581,-877582.7972913166,25.26792857142857,48027936.2087395,26.961836620746652,2889827.4119005604,0.009544144775841939
2019-01,835800343.67642,8168669209.053356,0.20309810671256454,0.18244406196213425,0.09122203098106713,0.04475043029259897,1013714753.4974183,0.1962134251290878,2362380030.246127,2103566600.2667813,0.26506024096385544,3606938187.030981,0.0,inf,0.4844368545182607,-2534018.4257458407,10603375.203610156,1860267.9108892714,-1091363.3210943774,-581965.29286288,27.112271944922547,45477023.92551635,26.766889040469984,2951200.457309237,inf
2020-01,970546984.57223,7125484957.924264,0.2552594670406732,0.14866760168302945,0.0785413744740533,0.03225806451612903,2433319523.2201962,0.2791023842917251,1119199084.802244,1735633401.106592,0.20757363253856942,3452301441.8611503,1220.196353436185,inf,0.34483910989191624,-3741385.132510519,11734508.269251985,1493673.3403693317,-1903163.724495091,-800392.9023176719,26.841825619448336,57669965.534712486,29.06804069187441,3402294.371139552,inf
2021-01,1242857142.857143,10021394114.612988,0.21948051948051947,0.11298701298701298,0.08181818181818182,0.01948051948051948,4383579636.546753,0.15454545454545454,1086958840.1493506,1392598876.8701298,0.2012987012987013,2921021076.8844156,25.974025974025974,inf,0.6322989154754204,-2643980.6717413417,11283414.282512987,1889335.5989339824,-1639532.964231602,-1138842.7360725107,25.396204545454545,60741421.38746753,29.00657320790565,3527739.969608225,inf
