,매출총이익,총자본,영업이익,당기순이익,판매 및 관리비,매출채권,영업현금흐름,최대주주비율,결산기간_주가변동률,차입금의존도,조회공시요구카운트,BW금액,최대주주변경카운트,최대주주비율_변동성,유상증자금액,불성실공시법인지정카운트,상호변경카운트,결산기간_거래량증가,타법인주식및출자증권취득결정금액,CB금액,최대주주변경을수반하는주식양수도금액,업종변경카운트,특수관계인에대한자금대여금액,경영권분쟁소송,최대주주변경을수반하는주식담보제공금액
2012-01,0.16769726788585898,0.12797648395588454,0.15898285897784004,0.14116022517772275,0.07915055676604056,0.07677995166678811,0.06879938690930323,0.08207191648943334,0.014447126574249538,0.027318883633139127,0.014491553857659455,0.01085728470655051,0.0017717193831174175,0.02010595733693162,0.001850557738537811,0.00247538186159146,5.6397490326133674e-06,0.0011413310496584522,0.0006634031874206915,0.0013158216202881845,0.0005079046857470042,0.000401750800000592,2.703598720400914e-05,0.0,0.0
2012-04,0.16573926709560335,0.13380733366845748,0.14729626584868377,0.13038012252230444,0.0821787106231587,0.08095279316878634,0.07021388155545309,0.08641329503627351,0.013345587400242087,0.025711532001492978,0.02182014063264335,0.008325514615930202,0.0041006571964110165,0.022071907924240953,0.0029799126868466324,0.001869104608292669,6.469948470225764e-05,0.0006749783358958175,0.00048326139635366833,0.00044810957699001065,0.0005255761956000739,0.0005784765995019189,1.887182613575699e-05,0.0,0.0
2012-07,0.13811555688618712,0.11350841286247007,0.14090108482519792,0.13696712623980506,0.06451202043170146,0.06393907346320304,0.0708812830471358,0.12115228289414993,0.01349911581078142,0.06684790914991223,0.022114984686570492,0.01629901306897681,0.0048943321679729155,0.014638353420231183,0.003791496592168438,0.0036354653415672433,0.00041713608292428227,0.0010092552767020663,0.0014392604836525478,0.000642732440395203,0.000601906408696917,0.0001814072634093046,1.079115618867069e-05,0.0,0.0
2012-10,0.16907602317283227,0.1351182901121044,0.15248248604459497,0.12406865997275038,0.09054598813000918,0.09208956868986035,0.08389390240628682,0.07243067044337156,0.016397373171424954,0.025724123978152942,0.013061776860898251,0.011990981980021154,0.0023699057086650284,0.001957569229366475,0.002473628834638592,0.001819690015992645,0.0006816817568353407,0.0021258678398577173,0.0006570846435099546,0.000315946169635705,0.0005351014321859026,0.00016808161724235555,1.559778976300397e-05,0.0,0.0
2013-01,0.18004831361623352,0.14664161364439,0.1405456197970789,0.10746864455590496,0.10605940509336256,0.10451174024916413,0.07613679807030846,0.06474036853116104,0.01865790977945015,0.01797496974344562,0.012746586502395582,0.011015927993399555,0.003104240082314833,0.0025770936372724743,0.0019361433210495988,0.0019321630328645218,0.0009838478527842967,0.0009711056286405577,0.0006396232803394103,0.0005529782114652673,0.000538478342085306,0.00017206005552684089,3.3151876583667146e-05,1.1217102778767818e-05,0.0
2013-04,0.178151746491237,0.14190946713238423,0.1423836716748913,0.11462516600239062,0.10037238600587178,0.09464436195518584,0.10204255649343405,0.05099416845289468,0.017384251682475763,0.027862738136678007,0.008651084458749953,0.008219130397625498,0.003514129837031398,4.324678417302021e-05,0.00196428947618126,0.0015880279414301037,0.0010475949151130684,0.001444606574378181,0.000864232208037004,0.0017553386180322785,0.0003466945618079703,0.00010887038685648465,4.496616199311686e-05,3.727365114733611e-05,0.0
2013-07,0.17916810760619004,0.14416198034076233,0.15001303706567848,0.1121694020094234,0.10568972795327292,0.0951309768596682,0.0921760729160834,0.04550628515759232,0.018515673666504986,0.029739988402873466,0.008848824119208974,0.0038370892770974276,0.0029618339442021887,0.00096208770823423,0.0018123443492324507,0.0011808032903407875,0.00075786210097678,0.0022219081174992806,0.0004618392446226708,0.0042213047795755815,0.0002755340433887212,7.933313775357104e-05,4.360716875328692e-05,6.437674106453724e-05,0.0
2013-10,0.1746088349954682,0.14174834094118033,0.14559550806006694,0.11250882588178678,0.10059384086722253,0.09721677028000769,0.08350910542731754,0.05964227796576908,0.018672472998796694,0.032274226367639054,0.009362763621259524,0.00030969205452645765,0.0037656393373735834,0.0054981226301405815,0.002451435556076578,0.001435427164938259,0.000501082062977241,0.00406300253975108,0.00030912277690023213,0.0055674220290149665,0.00021446286959296253,2.4361046508315275e-05,2.4020803183273993e-05,0.00010324172250208776,0.0
2014-01,0.1817772613170341,0.16502126991079263,0.11979231313735156,0.0895556367512732,0.13066463579913898,0.13065588400523231,0.07663632813675132,0.04968516479801047,0.024151166993099868,0.011753099614037721,0.006246519653107172,0.00024436032403335993,0.001834674043863815,0.0007940121729771562,0.0015782983185440647,0.0011434286904649068,0.00032685954604177894,0.0027378354701500674,0.0004923208920211763,0.004648622954410475,0.0001448103328212408,1.5564742968108896e-05,2.4948096072202066e-05,7.498429980232294e-05,0.0
2014-04,0.17637600033225112,0.1545696060116504,0.13376095620612682,0.10082898158394055,0.12001864446063738,0.11430875599635579,0.0797127180241064,0.04487494392891108,0.02453549900492708,0.020201095949188525,0.009318411232802156,0.0001815430157901586,0.002061076660802443,0.004381251876784849,0.0011422218647819617,0.000548413435923146,0.0004461520523620359,0.005578207691260327,0.00045829024309128856,0.006224429242223757,0.00025755589982226674,2.7179621535997882e-05,1.8048607824010522e-05,0.00017001705690037594,0.0
2014-07,0.18225031627347005,0.16067602910041062,0.128438244330326,0.09248147102138336,0.12893514455028734,0.12628275732422148,0.0738755529077988,0.03728867944691305,0.025989013238490233,0.01036260177055075,0.010860414658619623,7.125300427222766e-05,0.0025566536090882996,0.0018530416310691621,0.0010613152984365402,0.0006990213908816177,0.001002770219680687,0.008094763974961448,0.0006110545284773286,0.005767514920039876,0.000506294952979791,0.00020022259995090074,1.8517757112903075e-05,0.00011735149057797647,0.0
2014-10,0.14397354195519402,0.13121177757685323,0.15168197804221084,0.13573315690029003,0.08061113781861967,0.07944939856171408,0.08440202429083207,0.07436914185797057,0.017168330169695482,0.04829386891064619,0.018119146968981058,7.848002113720735e-05,0.003217397542438876,0.00542419009670287,0.0009244709338634053,0.0008210245000902825,0.0007586879717933267,0.006770224190083677,0.0005912494025043498,0.014503347461014966,0.0013949784251602306,0.00040150571388725424,1.8972535468435225e-05,7.763832569959283e-05,4.3298271482928644e-06
2015-01,0.13508231766018103,0.1313515689842834,0.1445949905409372,0.12703134032303792,0.07441461956465382,0.08141704577098355,0.08984339699937831,0.07716794271100068,0.01632852464734698,0.05131120060207835,0.02562230249846356,0.00013635424610127384,0.0057973237564252975,0.007925810938814788,0.001348947726043771,0.001495316680591467,0.0009426061701894666,0.0042317520440971895,0.0006684998088152983,0.020560437829575205,0.0019244116566358934,0.0006607911291194169,1.4957142891824911e-05,8.63058097712175e-05,4.123475858313428e-05
2015-04,0.16784152387957424,0.14699597512063384,0.14037368928368,0.10346692855016602,0.11318069943019998,0.10484517484166535,0.08281836687943758,0.048645451384789574,0.0194419920168351,0.012021366490282397,0.019021097793204454,5.753658678511121e-05,0.006203212170050837,0.0038152598210470135,0.0008946699634760969,0.0011411208553295967,0.0004977837272929189,0.0088592790067184,0.0005288647813244595,0.016370302433656194,0.0020845201336856054,0.0006190338372519634,1.94953079924023e-05,0.00011124885094756178,0.00014540685397332857
2015-07,0.16725246213052827,0.1492516870224124,0.12845385931462697,0.09273182028348519,0.11907077584396207,0.11813189892493048,0.084435927683094,0.04713346797407517,0.02036639295176192,0.006571637992867116,0.018285453635472706,0.00014863491265311424,0.005799743290824385,0.008163534235104387,0.0007906193290032703,0.0013059439018572407,0.0008011968764149209,0.008761142455504677,0.001158850057651511,0.01872902479713173,0.0022744859741224825,0.00011490469586702796,2.1778325633164544e-05,0.00015546680916975986,8.92905818461522e-05
2015-10,0.15478577012127687,0.14565934237086475,0.12123190798151644,0.0924843076750989,0.10847051563653962,0.10493469467295696,0.08548065294009799,0.06092161399342457,0.018249899623958347,0.01046026849754837,0.020566690477522548,0.0002628163154089451,0.007968612640841618,0.023538287047313023,0.0006575858644107833,0.0013131882515638104,0.0010012921470497606,0.010440497505650903,0.002270196275286519,0.02623889092345426,0.0024558565914474684,3.261263279891863e-05,1.6936435560717907e-05,0.0002754668437060765,0.0002820965347018766
2016-01,0.16069523116631085,0.1440008110118977,0.11663894937273223,0.08421085937912318,0.11616553191114562,0.11319248712576088,0.08668256694175999,0.059337684797501,0.020223461589315685,0.007061171545320129,0.015253651088983263,0.00013637793281962094,0.007711283418466812,0.026937836588857435,0.0003386473414957335,0.001537987832720744,0.0008378758908721707,0.009870321778222009,0.0012847575140962422,0.025230744109369235,0.0019802158381705256,5.7028516818749075e-05,2.1799871059623755e-05,0.00027733523975652103,0.0003153821974241057
2016-04,0.1648451232060932,0.142101589038137,0.12814647302967255,0.09931556327366971,0.11364754171777432,0.10660911248297086,0.09307071013534614,0.0539550850166088,0.021422260651287064,0.008136820893377356,0.011227798492957006,0.000184326388343,0.007645191419776419,0.012824328341324305,0.0001996201805048196,0.0019746797998305087,0.0015898520205001375,0.007226288425877615,0.000827038428032165,0.022128969516495105,0.0020809076055248923,0.00010292375285838057,2.5877618044805905e-05,0.00021732559003356634,0.0004945929749603145
