,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01,2021-04,2021-07,2021-10,2022-01,2022-04,2022-07
0,520.0,508.0,479.0,534.0,497.0,506.0,509.0,506.0,583.0,580.0,495.0,531.0,589.0,595.0,627.0,561.0,633.0,533.0,573.0,681.0,594.0,564.0,673.0,594.0,590.0,551.0,562.0,648.0,579.0,605.0,594.0,537.0,712.0,723.0,702.0,745.0,691.0,691.0,740.0,775.0,726.0,714.0,598.0
1,504.0,590.0,556.0,571.0,612.0,505.0,585.0,515.0,536.0,539.0,596.0,576.0,513.0,523.0,548.0,618.0,562.0,581.0,542.0,561.0,662.0,568.0,588.0,582.0,574.0,694.0,630.0,539.0,605.0,579.0,599.0,682.0,535.0,536.0,560.0,698.0,565.0,805.0,659.0,718.0,755.0,757.0,782.0
2,570.0,506.0,572.0,503.0,496.0,594.0,506.0,595.0,499.0,499.0,531.0,545.0,553.0,548.0,511.0,538.0,531.0,628.0,642.0,537.0,529.0,674.0,572.0,674.0,698.0,621.0,695.0,732.0,732.0,735.0,749.0,749.0,724.0,717.0,737.0,571.0,769.0,547.0,657.0,562.0,575.0,576.0,659.0
기업수,1594.0,1604.0,1607.0,1608.0,1605.0,1605.0,1600.0,1616.0,1618.0,1618.0,1622.0,1652.0,1655.0,1666.0,1686.0,1717.0,1726.0,1742.0,1757.0,1779.0,1785.0,1806.0,1833.0,1850.0,1862.0,1866.0,1887.0,1919.0,1916.0,1919.0,1942.0,1968.0,1971.0,1976.0,1999.0,2014.0,2025.0,2043.0,2056.0,2055.0,2056.0,2047.0,2039.0
