,2012-01,2012-04,2012-07,2012-10,2013-01,2013-04,2013-07,2013-10,2014-01,2014-04,2014-07,2014-10,2015-01,2015-04,2015-07,2015-10,2016-01,2016-04,2016-07,2016-10,2017-01,2017-04,2017-07,2017-10,2018-01,2018-04,2018-07,2018-10,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01
0,0.2,0.7368421052631579,0.7894736842105263,0.6000000000000001,0.46153846153846156,0.09999999999999999,0.5,0.5,0.25000000000000006,0.2,0.09999999999999999,0.631578947368421,0.22222222222222224,0.1111111111111111,0.2,0.5499999999999999,0.27777777777777773,0.27777777777777773,0.2631578947368421,0.3333333333333333,0.49999999999999994,0.6153846153846154,0.13793103448275862,0.7500000000000001,0.7931034482758621,0.10714285714285714,0.10714285714285714,0.125,0.8461538461538461,0.19230769230769232,0.17241379310344826,0.13333333333333333,0.7,0.6666666666666666,0.08695652173913043,0.7222222222222222,0.0625
1,0.6666666666666666,0.15789473684210525,0.15789473684210525,0.26666666666666666,0.3076923076923077,0.6,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.6000000000000001,0.3,0.2631578947368421,0.4444444444444445,0.3333333333333333,0.4,0.15,0.3333333333333333,0.3333333333333333,0.2631578947368421,0.47619047619047616,0.23076923076923075,0.23076923076923078,0.7241379310344828,0.07142857142857144,0.10344827586206896,0.17857142857142858,0.7142857142857143,0.8437500000000001,0.11538461538461539,0.7692307692307693,0.7586206896551724,0.7333333333333333,0.16666666666666666,0.13333333333333333,0.2173913043478261,0.05555555555555555,0.125
2,0.13333333333333333,0.10526315789473684,0.05263157894736842,0.13333333333333333,0.23076923076923078,0.3,0.16666666666666666,0.16666666666666666,0.08333333333333334,0.2,0.6,0.10526315789473684,0.33333333333333337,0.5555555555555555,0.4,0.3,0.3888888888888889,0.3888888888888889,0.4736842105263158,0.19047619047619044,0.2692307692307692,0.15384615384615385,0.13793103448275862,0.1785714285714286,0.10344827586206896,0.7142857142857143,0.17857142857142858,0.03125,0.038461538461538464,0.038461538461538464,0.06896551724137931,0.13333333333333333,0.13333333333333333,0.2,0.6956521739130435,0.2222222222222222,0.8125
포착군집,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0
