,BW금액,CB금액,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식담보제공금액,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,특수관계인에대한자금대여금액,결산기간_거래량증가,결산기간_주가변동률,당기순이익,매출채권,매출총이익,영업이익,영업현금흐름,차입금의존도,총자본,최대주주비율,판매 및 관리비,최대주주비율_변동성
2015-04,219160583.94160584,3327657526.432482,0.09124087591240876,0.09671532846715329,0.08941605839416059,0.060218978102189784,4433891087.808394,0.5328467153284672,484161462.34671533,1697754020.5547445,0.27007299270072993,2849200116.8120437,72.99270072992701,inf,1.0136959337699116,-3646263.738357664,30960594.91208485,324133.2970620436,-2526153.2080809004,-741440.5811998175,26.49765510948905,42245493.63865876,31.5065208610087,2850286.506091849,inf
2015-07,583535766.4233576,3764946411.7755475,0.10036496350364964,0.10218978102189781,0.09854014598540146,0.032846715328467155,1348805816.2080293,0.5237226277372263,615466484.7791971,1851104644.5036497,0.2846715328467153,2134024037.3521898,0.0,inf,0.9441211154676676,-1808348.3889400854,12907343.367927311,1527252.367839112,-916547.410386253,-285442.4471943431,25.42718673965937,38671678.387445256,31.092314128087295,2448275.608324209,inf
2015-10,470218587.3605948,5146008667.86803,0.137546468401487,0.11152416356877323,0.10594795539033457,0.024163568773234202,3805639564.6449814,0.570631970260223,999652310.1747212,1996005628.914498,0.31970260223048325,2146044551.7081785,0.0,inf,0.9104372366428505,-1778576.4818726764,12728874.493991636,1457266.2718726767,-1057567.2001765799,-472539.2948203222,25.81230018587361,37559204.03463755,29.808391356063957,2519392.5168355014,inf
2016-01,462415658.3629893,6412040791.247331,0.18861209964412812,0.11921708185053381,0.09608540925266904,0.02491103202846975,3693558351.4982204,0.5693950177935944,1093822143.1032028,1973571300.3131673,0.3113879003558719,2293082895.0284696,257.20284697508896,inf,0.8392221246919224,-3267479.0313982796,13327003.662744662,1124608.3865287662,-1461388.3122241993,-425379.1111343417,25.085502669039148,39603519.0516904,29.53516913456586,2590361.0421115067,inf
2016-04,490322891.56626505,8835913650.650602,0.18760757314974183,0.1342512908777969,0.10843373493975904,0.03270223752151463,7544933723.165233,0.5352839931153184,1168976823.9277108,2264131407.798623,0.29948364888123924,2587548056.3907056,76.592082616179,inf,0.7737257765316764,-5935620.556312392,22970864.866411358,884662.9001434309,-2222910.167984796,-686644.2175129089,24.98416953528399,38592807.33312393,29.681504017522435,3111794.6826907634,inf
2016-07,626317626.5270506,11467416633.556719,0.20767888307155322,0.1343804537521815,0.09947643979057591,0.07155322862129145,8005385026.294939,0.47294938917975565,1445065142.5095985,2116812591.0052357,0.32460732984293195,2826780559.1099477,77.66143106457243,inf,0.7432818630170427,-7279573.349403722,22971803.774066314,907757.9801003492,-2288880.669283013,-117138.18982693423,25.107687609075043,37578810.24546248,28.55358228131345,3196398.8502254216,inf
2016-10,621532976.8270944,6850852471.573975,0.21568627450980393,0.13012477718360071,0.08377896613190731,0.07130124777183601,1377882755.6898396,0.39037433155080214,1395353433.7486632,2065253298.8003564,0.29233511586452765,2086419776.905526,0.0,inf,0.7955327084009546,-7547961.128306595,14408291.754162211,1253378.6846969698,-1554340.5312967913,-215356.68351752823,24.832945632798577,38283880.64774956,27.898399878931528,2807719.2146761734,inf
2017-01,657710437.7104377,6119625111.937711,0.20033670033670034,0.1127946127946128,0.07912457912457913,0.07407407407407407,2404752860.8080807,0.3434343434343434,1543890233.026936,1702176995.9141414,0.2676767676767677,1828815164.2104378,0.0,inf,0.7710051361354001,-7102718.776035353,14279351.048087824,1492153.809984568,-1319459.7721184064,17286.88850589222,23.7485101010101,38983154.52130892,28.60646538618245,2811613.5761574074,inf
2017-04,781347517.7304964,6783204090.941489,0.20035460992907803,0.10815602836879433,0.08865248226950355,0.0726950354609929,2685777927.251773,0.324468085106383,1591364592.8439717,2185108755.27305,0.29609929078014185,2156199199.430851,0.0,inf,0.7340353525676093,-2534344.297257683,12653695.141817376,1790747.4927526596,-1014365.0959722222,-553379.3512810284,24.543865248226954,43739103.20478281,27.370095974989678,2805112.5897635934,inf
2017-07,844600340.1360544,7701044774.304421,0.2108843537414966,0.12755102040816327,0.10204081632653061,0.04931972789115646,2462874093.3503404,0.32482993197278914,1910489158.6921768,2501412365.607143,0.2976190476190476,2708413341.4166665,0.0,inf,0.7183554241041865,-2079054.2805187074,13030489.37512755,1862370.675812075,-1010682.4079024942,-558765.433307823,24.458193027210882,45780761.62883503,27.505382311583322,2872782.280459184,inf
