,매출총이익,영업이익,총자본,당기순이익,매출채권,판매 및 관리비,영업현금흐름,최대주주비율,차입금의존도,결산기간_주가변동률,BW금액+CB금액+유상증자금액,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,최대주주비율_변동성,결산기간_거래량증가
2012-01,0.1669138202748193,0.15767512609284043,0.12975057657560088,0.13801008929623346,0.07965175798284323,0.08010088708060464,0.06949273565738197,0.07742657072042636,0.022074660798120684,0.014338565630306952,0.02077927693011376,0.021361033549587755,0.020560100885072107,0.0018647985260483797
2013-01,0.17703102469992052,0.14701331576639146,0.1413335164412973,0.11582613005790235,0.0997851227695291,0.09936000579941004,0.08025788695413917,0.06468795599008843,0.021851446328373457,0.017964634651159612,0.01695246632108583,0.01576815578120353,0.0013137658578248946,0.0008545725816744619
2014-01,0.1811130303141138,0.12812568420125067,0.15718594456595789,0.09819696276310894,0.11655800973860111,0.12278060967520935,0.08040718171135135,0.04887831623039972,0.019815008176668255,0.02328353279354381,0.01109982856595181,0.009698243598914276,0.001603869506249084,0.0012537781586799775
2015-01,0.1722675814966174,0.12673305886403116,0.1546409479828433,0.09076410241894135,0.12398294647460355,0.12251665447574868,0.08159910940806324,0.04519293069589626,0.007633584969950635,0.025923582525162515,0.0124228425774643,0.020777680623302597,0.007781566378238137,0.007763411109137183
2016-01,0.16445572837387293,0.1248279265831467,0.1456764030801159,0.08946895568570402,0.11148946887810257,0.11670858512502205,0.09405031393427879,0.047652719007896784,0.0067265446163968946,0.020196406755964205,0.021115085619432143,0.021634405652529585,0.02638547236459752,0.009611984322939778
2017-01,0.16113841678389004,0.13079006751226516,0.15054485677563081,0.11043536822473368,0.11673330935170348,0.10849491159527966,0.07992768176225729,0.06618366874443579,0.006172340522610698,0.023072753467739147,0.020042157323901588,0.013801481361842532,0.010679740490150798,0.0019832460835593683
2018-01,0.15987405092349097,0.12478794212412554,0.13555695087347655,0.10195458286696368,0.09724770713655949,0.10150581538697413,0.07093380974673795,0.09618133251204157,0.021116825411728914,0.01850058952844304,0.0340582879632965,0.011587809352084855,0.01876204001481968,0.007932256159257273
2019-01,0.14433950647898652,0.12565705995398546,0.13007055578269,0.11017603312875598,0.0975092257191968,0.08386629454894627,0.08032747914174738,0.09585984387099786,0.03857340778678277,0.02080677672763489,0.03428033461357066,0.011304430920390887,0.007398931080050897,0.01983012024626354
2020-01,0.1713601012092075,0.11505399558217758,0.14631152638771866,0.08644683956804118,0.1194498334151945,0.11321480845286537,0.10358672308345773,0.06820878130645039,0.015332721780328743,0.02209426785445532,0.01835593078558054,0.009434039869444166,0.009555205454100747,0.0015952252509776987
2021-01,0.15196127025700468,0.13123423489053954,0.12907073927424453,0.12148566474772379,0.09975584963422393,0.08776954326925716,0.09233218215546102,0.07748644831372306,0.03606215090809885,0.02009109699241446,0.0432911447077062,0.004763582136622653,0.0035683639886046857,0.0011277287243754448
